trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.1, 'e': 0.3924120901922416}",35,1,4.033136527374451,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 0}",1
162,False,"{'a': 0.1, 'e': 0.3879328029244032}",30,23,1.669251948625221,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.3834778002912513}",25,16,-5.0157698640913715,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.37904742352824294}",20,3,14.268871407824939,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.3746420047988029}",20,12,7.864504146874355,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.3702618672066657}",30,0,-46.01093164465129,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",1
167,False,"{'a': 0.1, 'e': 0.36590732481122756}",20,0,-13.316932664590668,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
168,False,"{'a': 0.1, 'e': 0.36157868264586573}",20,7,9.809433608643602,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.3572762367391839}",20,5,-28.47334619584972,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.1, 'e': 0.3530002741391399}",25,0,-56.50729656035451,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.1, 'e': 0.3487510729400116}",25,2,-59.086487053889904,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
172,False,"{'a': 0.1, 'e': 0.3445289023121557}",20,8,-65.22891481019936,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
173,False,"{'a': 0.1, 'e': 0.3403340225345143}",20,14,10.945480325391141,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.33616668502982167}",25,0,-82.47985120298529,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
175,False,"{'a': 0.1, 'e': 0.3320271324024649}",20,10,13.705910674535803,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.32791559847894913}",30,21,17.38952255067543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.3238323083509195}",30,19,0.7418131044486334,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.3197774784206899}",30,0,-59.223234460557165,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
179,False,"{'a': 0.1, 'e': 0.3157513164492288}",25,7,-99.18462188105023,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 2}",1
180,False,"{'a': 0.1, 'e': 0.3117540216065514}",20,0,-47.5694573345181,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.3077857845244665}",25,0,-25.361579668756693,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
182,False,"{'a': 0.1, 'e': 0.30384678735162723}",20,10,-8.873317153587042,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.1, 'e': 0.2999372038108332}",20,0,-34.64860616778993,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
184,False,"{'a': 0.1, 'e': 0.2960571992585311}",25,3,19.164333916835933,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.1, 'e': 0.2922069307464609}",20,0,18.11232843063642,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
186,False,"{'a': 0.1, 'e': 0.2883865470853954}",20,7,-1.5476072324090766,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.1, 'e': 0.28459618891091754}",20,0,-36.29810248084394,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
188,False,"{'a': 0.1, 'e': 0.2808359887511832}",25,9,-32.00918253745499,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.1, 'e': 0.27710607109661456}",20,0,21.806254313801865,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.1, 'e': 0.27340655247146917}",30,0,-15.128590661955421,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
